Country,Index_name,Year,Volume,Annual_returns,CAGR,Gdp_growth,Inflation Rate,Total_volume
USA,S&P 500,2014,3.46E+11,,,2.5,0.8,
USA,S&P 500,2015,9.21E+11,-0.73,,2.9,0.5,
USA,S&P 500,2016,9.84E+11,9.54,,1.8,2.5,
USA,S&P 500,2017,8.58E+11,19.42,,2.5,2.5,
USA,S&P 500,2018,9.12E+11,-6.24,,3,2,
USA,S&P 500,2019,8.97E+11,28.88,,2.5,2.5,
USA,S&P 500,2020,1.25E+12,16.26,,-2.2,1.5,
USA,S&P 500,2021,1.11E+12,26.9,,5.8,7,
USA,S&P 500,2022,1.16E+12,-19.45,,1.9,6.5,
USA,S&P 500,2023,1.00E+12,24.24,,2.5,6.5,
USA,S&P 500,2024,5.99E+11,9.01,9.71,2.7,3.5,1.00E+13
IND,S&P BSE SENSEX,2014,801700,,,7.4,6.5,
IND,S&P BSE SENSEX,2015,2878100,-5.025,,8,5.5,
IND,S&P BSE SENSEX,2016,3133400,1.95,,8.3,5,
IND,S&P BSE SENSEX,2017,4698200,27.91,,6.8,3.5,
IND,S&P BSE SENSEX,2018,125276900,5.91,,6.5,5,
IND,S&P BSE SENSEX,2019,198591500,14.38,,3.9,7.5,
IND,S&P BSE SENSEX,2020,4795300,15.76,,-5.8,6.5,
IND,S&P BSE SENSEX,2021,3159400,21.99,,9.7,5,
IND,S&P BSE SENSEX,2022,2628400,4.45,,7,6.5,
IND,S&P BSE SENSEX,2023,2307400,18.74,,7.8,5.5,
IND,S&P BSE SENSEX,2024,2302000,10.01,11.2,6.8,4.5,3.51E+08
UK,FTSE 100,2014,71581934300,,,3.2,1.5,
UK,FTSE 100,2015,1.87E+11,-4.94,,2.2,0,
UK,FTSE 100,2016,2.16E+11,14.43,,1.9,0.5,
UK,FTSE 100,2017,2.02E+11,7.63,,2.7,3,
UK,FTSE 100,2018,2.01E+11,-12.48,,1.4,2.5,
UK,FTSE 100,2019,1.79E+11,12.1,,1.6,1.5,
UK,FTSE 100,2020,2.36E+11,-14.34,,-10.4,0.9,
UK,FTSE 100,2021,1.83E+11,14.3,,8.7,2.5,
UK,FTSE 100,2022,2.22E+11,0.91,,4.3,9,
UK,FTSE 100,2023,1.95E+11,3.78,,0.1,8.5,
UK,FTSE 100,2024,1.52E+11,5.61,2.21,0.5,4,2.04E+12
CHN,SSE Composite Index,2014,27035700,,,7.4,2,
CHN,SSE Composite Index,2015,101465100,9.41,,7,1.5,
CHN,SSE Composite Index,2016,44631300,-12.3,,6.9,2,
CHN,SSE Composite Index,2017,43582500,6.56,,6.9,1.5,
CHN,SSE Composite Index,2018,37076600,-24.6,,6.8,2,
CHN,SSE Composite Index,2019,52922500,22.3,,6,3,
CHN,SSE Composite Index,2020,68186300,13.87,,2.2,2.5,
CHN,SSE Composite Index,2021,86085300,4.8,,8.4,1,
CHN,SSE Composite Index,2022,79862900,-15.13,,3,2,
CHN,SSE Composite Index,2023,72919000,-3.7,,5.2,0.5,
CHN,SSE Composite Index,2024,49759800,-3.53,-1.19,4.6,1,6.64E+08
